请对照此文件更改UserConfig.ini内的内容，第一位数字为编号对应第二位名称
[0, '微博', '热搜榜']
[1, '知乎', '热榜']
[2, '微信', '24h热文榜']
[3, '百度', '实时热点']
[4, '36氪', '24小时热榜']
[5, '少数派', '热门文章']
[6, '虎嗅网', '热文']
[7, 'IT之家', '日榜']
[8, '哔哩哔哩', '全站日榜']
[9, '煎蛋', '24H热文']
[10, 'AcFun', '排行榜']
[11, '吾爱破解', '今日热帖']
[12, '百度贴吧', '热议榜']
[13, '天涯', '热帖榜\r']
[14, '虎扑社区', '步行街热帖']
[15, '淘宝 ‧ 天猫', '热销总榜']
[16, '什么值得买', '好文原创榜']
[17, '今日热卖', '全网线报聚合']
[18, '拼多多', '实时热销榜']
[19, '雪球', '今日话题']
[20, '第一财经', '新闻排行周榜']
[21, '财新网', '点击排行榜']
[22, '新浪财经新闻', '点击量排行']
[23, '水木社区', '十大热门话题']
[24, '北大未名', '全站热门话题']
[25, '武大珞珈山水', '十大热点话题']
[26, '北邮人论坛', '十大热门话题']
[27, '知乎日报', 'Today']
[28, '开眼视频', '日报']
[29, '百度知道日报', 'Today']
[30, '哔哩哔哩', '每周必看']
[31, '高楼迷', '今日热帖']
[32, '地铁族', '热帖排行']
[33, '苏州姑苏网', '24小时热贴']
[34, '过早客（光谷社区）', '今日热议']
[35, '豆瓣电影', '豆瓣新片榜']
[36, '微博', '电影榜']
[37, '知乎', '影视热榜']
[38, '微信读书', '总榜']
[39, '当当', '畅销图书榜']
[40, '起点中文网', '24小时热销榜']
[41, '纵横中文网', '24小时畅销榜']
[42, 'TapTap', '排行榜']
[43, '3DM游戏网', '最新新闻']
[44, '机核网', '每日最新']
[45, '游研社', '首页推荐']
[46, '新浪体育新闻', '点击量排行']
[47, '知乎', '体育热榜']
[48, '虎扑社区', 'NBA论坛热帖']
[49, '新浪热点榜', '体育榜']
[50, '人人都是产品经理', '热门文章']
[51, '鸟哥笔记', '周榜']
[52, '产品100', '周榜']
[53, 'Product Hunt', '今日新产品']
[54, 'GitHub', 'Trending Today']
[55, 'CSDN论坛', '技术区热帖']
[56, '掘金', '全站本周最热']
[57, '开发者头条', '今日头条']
[58, '爱范儿', 'AppSolution']
[59, '最美应用', '每日最美']
[60, 'AppSo', '鲜面连线']
[61, '汽车之家', '论坛精选日报']
[62, '老司机', '24小时热门']
[63, '易车网', '7日视频排行']
[64, '太平洋汽车网', '帖子排行榜']
[65, '看雪论坛', '最新精华']
[66, '安全客', '最新']
[67, 'FreeBuf', '最新']
[68, '安全脉搏', '最新']
